id,route_label,test_type,rows,time_start,time_end,mean_tp,median_tp,p25_tp,p10_tp,low_tp_ratio,anomaly_sample_ratio,bad_session_flag,median_rb_usage,median_throughput_per_rb,rb_demand_confidence_mode,mean_rsrp,mean_sinr,unique_pci_count
542020041221088+20250827123437+Fiji-Nadi-LTE-DL-D!20250827114425,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 01:42:23+02:00,2025-08-27 01:44:25+02:00,5.213251321138211,3.71156,2.125024,1.0301280000000002,0.8699186991869918,0.8699186991869918,True,72.0,0.06064055172413793,low_or_uncertain,-114.50901630081302,4.357748436304065,6
542020041221088+20250827131704+Fiji-Nadi-LTE-DL-D!20250827121308,Fiji-Nadi-LTE-DL-D,DL-D,124,2025-08-27 02:11:05+02:00,2025-08-27 02:13:08+02:00,6.112451911209678,5.392344,2.5448079999999997,0.4241632000000001,0.8145161290322581,0.8387096774193549,True,77.5,0.05208003785068156,low_or_uncertain,-115.32651733064516,4.0804539705080645,6
542020041221088+20250827161154+Fiji-Nadi-LTE-DL-D!20250827160820,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 06:06:18+02:00,2025-08-27 06:08:20+02:00,5.276738257528455,2.185288,0.454884,0.011284800000000003,0.8130081300813008,0.8292682926829268,True,48.0,0.034444888888888886,low_or_uncertain,-109.3361696504065,5.312638979105691,4
542020041221088+20250828140057+Fiji-Nadi-LTE-DL-D!20250828135741,Fiji-Nadi-LTE-DL-D,DL-D,120,2025-08-28 03:55:43+02:00,2025-08-28 03:57:42+02:00,9.498928640666666,4.27516,0.579826,0.2300968,0.725,0.775,True,60.5,0.0675353896103896,low_or_uncertain,-106.45838090833333,7.223032987875,4
542020041221088+20250827161234+Fiji-Nadi-LTE-DL-D!20250827161029,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 06:08:27+02:00,2025-08-27 06:10:29+02:00,8.352329993333333,5.963584,2.574884,1.26562552,0.7235772357723578,0.7479674796747967,True,76.0,0.07945298113207547,low_or_uncertain,-104.60904795121952,5.668819407308943,6
542020041221088+20250827123337+Fiji-Nadi-LTE-DL-D!20250827114216,Fiji-Nadi-LTE-DL-D,DL-D,124,2025-08-27 01:40:14+02:00,2025-08-27 01:42:17+02:00,8.66743191048387,3.861168,0.422956,0.019732000000000003,0.6935483870967742,0.7419354838709677,True,64.0,0.041318486520376174,low_or_uncertain,-113.70866795967741,5.710071790967741,6
542020041221088+20250827102926+Fiji-Nadi-LTE-DL-D!20250827102813,Fiji-Nadi-LTE-DL-D,DL-D,124,2025-08-27 00:26:11+02:00,2025-08-27 00:28:14+02:00,9.223945758870968,5.874148,2.5137780000000003,1.3719088,0.6854838709677419,0.7016129032258065,True,76.0,0.0766818989908257,low_or_uncertain,-106.41840025806452,5.896656623935484,5
542020041221088+20250828133816+Fiji-Nadi-LTE-DL-D!20250828132818,Fiji-Nadi-LTE-DL-D,DL-D,110,2025-08-28 03:26:29+02:00,2025-08-28 03:28:18+02:00,8.27028125,6.581176,2.287761975,0.8498312,0.6181818181818182,0.6454545454545455,True,70.0,0.12072664196742255,low_or_uncertain,-103.91597220909091,8.463155718545455,3
542020041221088+20250827155633+Fiji-Nadi-LTE-DL-D!20250827154210,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 05:40:08+02:00,2025-08-27 05:42:10+02:00,11.815233681300814,7.043976,1.26684,0.106536,0.6178861788617886,0.6747967479674797,True,52.0,0.11866771014492754,low_or_uncertain,-108.14934215447154,9.234100136585365,1
542020041221088+20250827103926+Fiji-Nadi-LTE-DL-D!20250827103843,Fiji-Nadi-LTE-DL-D,DL-D,122,2025-08-27 00:36:42+02:00,2025-08-27 00:38:43+02:00,7.885309892618852,7.1262,1.954144,0.016079200000000002,0.6147540983606558,0.6147540983606558,True,66.5,0.10254897185741088,low_or_uncertain,-107.12312037704918,6.959134022786885,4
542020041221088+20250828125404+Fiji-Nadi-LTE-DL-D!20250828125334,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 02:51:32+02:00,2025-08-28 02:53:34+02:00,16.220620561544717,7.984208,3.498836,1.4591248000000006,0.6016260162601627,0.6585365853658537,True,101.0,0.08229847272727273,unknown,-91.29351229268292,12.070419074796748,4
542020041221088+20250828113631+Fiji-Nadi-LTE-DL-D!20250828110448,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 01:02:47+02:00,2025-08-28 01:04:49+02:00,9.68097004390244,7.823008,4.154916,1.67269432,0.6016260162601627,0.6178861788617886,True,73.0,0.11595825454545454,low_or_uncertain,-110.70335947967479,5.833746388491058,5
542020041221088+20250827141230+Fiji-Nadi-LTE-DL-D!20250827140734,Fiji-Nadi-LTE-DL-D,DL-D,27,2025-08-27 04:07:08+02:00,2025-08-27 04:07:34+02:00,9.205573937037038,8.0171995,5.424272,2.0754736,0.5555555555555556,0.5555555555555556,True,66.0,0.12039984615384616,low_or_uncertain,-107.80267251851852,3.879023668,5
542020041221088+20250828141158+Fiji-Nadi-LTE-DL-D!20250828141111,Fiji-Nadi-LTE-DL-D,DL-D,121,2025-08-28 04:09:11+02:00,2025-08-28 04:11:11+02:00,11.470214484297522,8.778648,4.39376,2.312848,0.5371900826446281,0.5537190082644629,True,77.0,0.110153900990099,low_or_uncertain,-99.67019158677687,8.29626363277686,3
542020041221088+20250829102513+Nawaka-LTE-DL!20250829102435,Nawaka-LTE-DL,DL,122,2025-08-29 00:22:34+02:00,2025-08-29 00:24:35+02:00,10.769262118852458,10.120856,4.588906,0.029925600000000004,0.4918032786885246,0.5081967213114754,True,75.0,0.12751632659176032,low_or_uncertain,-105.66565614754099,4.822947453196721,2
542020041221088+20250827135348+Fiji-Nadi-LTE-DL-D!20250827133514,Fiji-Nadi-LTE-DL-D,DL-D,122,2025-08-27 03:33:13+02:00,2025-08-27 03:35:14+02:00,17.017865022131147,10.457388000000002,2.13022,0.02145520000000005,0.4918032786885246,0.5,True,75.5,0.17570909090909093,low_or_uncertain,-97.19450795081967,9.866805813934427,3
542020041221088+20250828120254+Fiji-Nadi-LTE-DL-D!20250828113742,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 01:35:41+02:00,2025-08-28 01:37:43+02:00,22.256658217235774,10.153344,2.362576,0.5335648,0.4878048780487805,0.5121951219512195,True,62.0,0.15055127272727273,low_or_uncertain,-100.98445419512196,9.631572205447155,5
542020041221088+20250827131624+Fiji-Nadi-LTE-DL-D!20250827121056,Fiji-Nadi-LTE-DL-D,DL-D,122,2025-08-27 02:08:55+02:00,2025-08-27 02:10:56+02:00,13.111074690163935,11.23198,4.1533560000000005,1.4509440000000007,0.48360655737704916,0.5,True,80.0,0.11859644835521863,low_or_uncertain,-112.79918072131147,5.390060222131147,9
542020041221088+20250827123517+Fiji-Nadi-LTE-DL-D!20250827114634,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 01:44:32+02:00,2025-08-27 01:46:34+02:00,36.79074825365854,11.829168,6.363872000000001,3.0136672000000004,0.4796747967479675,0.5284552845528455,True,86.0,0.12724931147540983,low_or_uncertain,-110.29084362601627,6.454361942227642,3
542020041221088+20250828125203+Fiji-Nadi-LTE-DL-D!20250828125121,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 02:49:20+02:00,2025-08-28 02:51:22+02:00,15.654365548780486,10.273984,5.10326,1.0315184000000006,0.4634146341463415,0.5121951219512195,True,91.0,0.1204268,unknown,-87.2165683495935,12.197807072357724,3
542020041221088+20250828130244+Fiji-Nadi-LTE-DL-D!20250828130228,Fiji-Nadi-LTE-DL-D,DL-D,119,2025-08-28 03:00:30+02:00,2025-08-28 03:02:28+02:00,17.953434528319328,11.323832,4.60318,0.762620776,0.46218487394957986,0.5714285714285714,True,60.0,0.13576891428571428,low_or_uncertain,-89.27492342857144,14.284999701680672,6
542020041221088+20250829103754+Nawaka-LTE-DL!20250829103644,Nawaka-LTE-DL,DL,48,2025-08-29 00:35:57+02:00,2025-08-29 00:36:44+02:00,12.832572083333334,10.64051575,7.715156,6.13795266,0.4583333333333333,0.4583333333333333,True,65.5,0.15785496796536796,low_or_uncertain,-109.36934485416667,4.875653114583334,1
542020041221088+20250828141358+Fiji-Nadi-LTE-DL-D!20250828141324,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 04:11:23+02:00,2025-08-28 04:13:25+02:00,12.402133489430893,10.581936,5.482808,3.5677072000000005,0.45528455284552843,0.5203252032520326,True,82.0,0.13683577777777778,unknown,-99.69675163414635,8.038731648699187,5
542020041221088+20250827131523+Fiji-Nadi-LTE-DL-D!20250827120845,Fiji-Nadi-LTE-DL-D,DL-D,122,2025-08-27 02:06:44+02:00,2025-08-27 02:08:45+02:00,15.777094204918033,10.849704,5.27841,0.9632568000000005,0.4426229508196721,0.48360655737704916,True,90.0,0.10936399467634603,unknown,-113.71173318032787,4.8029855872950815,5
542020041221088+20250828125624+Fiji-Nadi-LTE-DL-D!20250828125546,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 02:53:44+02:00,2025-08-28 02:55:46+02:00,18.19663413821138,12.1648,5.5371559999999995,0.9996544,0.43902439024390244,0.4796747967479675,True,79.0,0.17524777777777778,low_or_uncertain,-95.57862898373983,8.550641273170731,3
542020041221088+20250828134436+Fiji-Nadi-LTE-DL-D!20250828133934,Fiji-Nadi-LTE-DL-D,DL-D,120,2025-08-28 03:37:35+02:00,2025-08-28 03:39:34+02:00,17.066656483333333,12.468195999999999,7.670502000000001,5.4605328,0.4166666666666667,0.45,True,40.5,0.3046815897435897,low_or_uncertain,-92.608478375,11.868417255833332,2
542020041221088+20250827133206+Fiji-Nadi-LTE-DL-D!20250827125008,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 02:48:06+02:00,2025-08-27 02:50:08+02:00,19.677512803252032,12.405136,7.484696,2.6746272000000006,0.4146341463414634,0.44715447154471544,True,87.0,0.17136604504504505,unknown,-107.3127875203252,7.236994579268293,3
542020041221088+20250827103246+Fiji-Nadi-LTE-DL-D!20250827103001,Fiji-Nadi-LTE-DL-D,DL-D,102,2025-08-27 00:28:21+02:00,2025-08-27 00:30:02+02:00,16.940298759803923,12.631896000000001,5.67507,2.0503384000000002,0.4117647058823529,0.5196078431372549,True,117.5,0.10180486762910293,medium,-110.08906858823529,4.2302893345764705,6
542020041221088+20250828141838+Fiji-Nadi-LTE-DL-D!20250828141754,Fiji-Nadi-LTE-DL-D,DL-D,113,2025-08-28 04:16:02+02:00,2025-08-28 04:17:54+02:00,40.76543679557522,17.475576,4.81428,0.8861088,0.39823008849557523,0.4336283185840708,True,100.0,0.16327599285714284,unknown,-98.62120303539824,8.669691236106194,7
542020041221088+20250828114952+Fiji-Nadi-LTE-DL-D!20250828112430,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 01:22:28+02:00,2025-08-28 01:24:30+02:00,29.64652272845528,13.252144,4.9498999999999995,1.4929536,0.3821138211382114,0.43089430894308944,True,82.0,0.16594045454545456,low_or_uncertain,-103.42108765853659,5.941487155853658,5
542020041221088+20250828154042+Fiji-Nadi-LTE-DL-D!20250828153246,Fiji-Nadi-LTE-DL-D,DL-D,53,2025-08-28 05:31:54+02:00,2025-08-28 05:32:46+02:00,19.429119773584905,18.034,1.360152,0.5219536,0.3584905660377358,0.4339622641509434,True,79.0,0.2243661463414634,low_or_uncertain,-94.90606437735849,9.93734760735849,2
542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 04:04:56+02:00,2025-08-27 04:06:58+02:00,36.456509455284554,17.906599,4.110296,0.374472,0.34959349593495936,0.4959349593495935,True,90.0,0.2611587826086956,low_or_uncertain,-104.2771946910569,10.350993469715448,9
542020041221088+20250828115533+Fiji-Nadi-LTE-DL-D!20250828113110,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 01:29:08+02:00,2025-08-28 01:31:10+02:00,53.07051444691057,49.795967,4.687896,0.9390399939999999,0.3170731707317073,0.35772357723577236,True,129.0,0.2966061954022989,medium,-94.82475760162602,10.719065460406505,3
542020041221088+20250828143139+Fiji-Nadi-LTE-DL-D!20250828143127,Fiji-Nadi-LTE-DL-D,DL-D,119,2025-08-28 04:29:29+02:00,2025-08-28 04:31:27+02:00,28.9031296,15.607448,6.626324,3.736632,0.36134453781512604,0.42016806722689076,False,92.0,0.2754086153846154,low_or_uncertain,-99.79427594117647,8.942754880084035,9
542020041221088+20250828120902+Fiji-Nadi-LTE-DL-D!20250828113953,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 01:37:51+02:00,2025-08-28 01:39:53+02:00,13.469751105691056,12.896224,9.214804,6.607432000000001,0.34146341463414637,0.35772357723577236,False,45.0,0.30141187096774197,low_or_uncertain,-83.61976322764228,19.013618821138213,1
542020041221088+20250828143639+Fiji-Nadi-LTE-DL-D!20250828143559,Fiji-Nadi-LTE-DL-D,DL-D,121,2025-08-28 04:33:59+02:00,2025-08-28 04:35:59+02:00,21.246417714876035,14.153928,8.29516,4.324528,0.33884297520661155,0.4380165289256198,False,85.0,0.15267076923076925,low_or_uncertain,-99.33147378512398,9.093593778966943,7
542020041221088+20250828115753+Fiji-Nadi-LTE-DL-D!20250828113321,Fiji-Nadi-LTE-DL-D,DL-D,122,2025-08-28 01:31:20+02:00,2025-08-28 01:33:21+02:00,23.545737963114757,17.7525245,7.96816,5.3334016,0.319672131147541,0.3770491803278688,False,94.5,0.18619129324200914,low_or_uncertain,-104.6458388852459,5.760059200409836,7
542020041221088+20250827123638+Fiji-Nadi-LTE-DL-D!20250827114845,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 01:46:43+02:00,2025-08-27 01:48:45+02:00,71.00924782113822,53.451088,5.132428,0.0885712,0.3170731707317073,0.34146341463414637,False,155.0,0.3724140895522388,high,-109.64865835772358,10.905175510569105,3
542020041221088+20250828124043+Fiji-Nadi-LTE-DL-D!20250828124009,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-28 02:38:07+02:00,2025-08-28 02:40:09+02:00,36.340647274796744,16.993176,8.84931575,5.974296000000001,0.3089430894308943,0.43902439024390244,False,112.0,0.17041823255813954,unknown,-87.92226879674796,11.217378946341464,3
542020041221088+20250827110647+Fiji-Nadi-LTE-DL-D!20250827105407,Fiji-Nadi-LTE-DL-D,DL-D,123,2025-08-27 00:52:05+02:00,2025-08-27 00:54:07+02:00,38.12944694878048,34.71504,8.087068,1.8574624,0.3089430894308943,0.36585365853658536,False,123.0,0.23909294223826716,high,-105.72670186178863,6.967700918544716,6
