view,column,kept_for_ml,reason,dtype,non_null_pct,unique_values
capability_pure,ml_hour_sin,True,kept,float64,100.0,8
capability_pure,ml_hour_cos,True,kept,float64,100.0,8
capability_pure,session_elapsed_seconds,True,kept,float64,100.0,125
capability_pure,speed,True,kept,float64,100.0,18415
capability_pure,location_accuracy,True,kept,float64,100.0,13408
capability_pure,altitude,True,kept,float64,100.0,17193
capability_pure,distance_from_prev_m,True,kept,float64,99.52230287238663,27801
capability_pure,lte_rsrp,True,kept,float64,100.0,31592
capability_pure,lte_rsrq,True,kept,float64,100.0,28612
capability_pure,lte_sinr,True,kept,float64,100.0,31730
capability_pure,lte_rssi,True,kept,float64,100.0,31307
capability_pure,carrier_count,True,kept,float64,100.0,3
capability_pure,lte_agg_bandwidth_dl,True,kept,float64,99.99379614119984,6
capability_pure,lte_bandwidth_dl,True,kept,float64,99.99379614119984,2
capability_pure,scell1_rsrp,True,kept,float64,72.41143991562751,22225
capability_pure,scell1_rsrq,True,kept,float64,72.38972640982692,20409
capability_pure,scell1_sinr,True,kept,float64,72.41143991562751,22481
capability_pure,neighbor_count,True,kept,int64,100.0,5
capability_pure,best_neighbor_rsrp,True,kept,float64,99.82008809479497,14835
capability_pure,strong_neighbor_count,True,kept,int64,100.0,5
capability_pure,serving_minus_best_neighbor_rsrp,True,kept,float64,99.82008809479497,31925
capability_pure,neighbor_pci_count,True,kept,int64,100.0,5
capability_pure,ca_active_flag,False,missing,missing,,0
capability_pure,serving_earfcn,True,kept,float64,100.0,8
capability_pure,serving_band,True,kept,float64,100.0,4
capability_pure,id_test_type,True,kept,str,100.0,2
capability_pure,ca_condition_label,True,kept,str,100.0,3
capability,ml_hour_sin,True,kept,float64,100.0,8
capability,ml_hour_cos,True,kept,float64,100.0,8
capability,session_elapsed_seconds,True,kept,float64,100.0,125
capability,speed,True,kept,float64,100.0,18415
capability,location_accuracy,True,kept,float64,100.0,13408
capability,altitude,True,kept,float64,100.0,17193
capability,distance_from_prev_m,True,kept,float64,99.52230287238663,27801
capability,lte_rsrp,True,kept,float64,100.0,31592
capability,lte_rsrq,True,kept,float64,100.0,28612
capability,lte_sinr,True,kept,float64,100.0,31730
capability,lte_rssi,True,kept,float64,100.0,31307
capability,carrier_count,True,kept,float64,100.0,3
capability,lte_agg_bandwidth_dl,True,kept,float64,99.99379614119984,6
capability,lte_bandwidth_dl,True,kept,float64,99.99379614119984,2
capability,scell1_rsrp,True,kept,float64,72.41143991562751,22225
capability,scell1_rsrq,True,kept,float64,72.38972640982692,20409
capability,scell1_sinr,True,kept,float64,72.41143991562751,22481
capability,neighbor_count,True,kept,int64,100.0,5
capability,best_neighbor_rsrp,True,kept,float64,99.82008809479497,14835
capability,strong_neighbor_count,True,kept,int64,100.0,5
capability,serving_minus_best_neighbor_rsrp,True,kept,float64,99.82008809479497,31925
capability,neighbor_pci_count,True,kept,int64,100.0,5
capability,ml_log1p_measurement_report_event_count_prev5s,False,constant or single-value feature,float64,100.0,1
capability,ml_log1p_handover_execution_count_prev5s,False,constant or single-value feature,float64,100.0,1
capability,ml_log1p_handover_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability,ml_log1p_rach_attempt_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability,ml_log1p_rach_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability,ml_log1p_ca_activation_change_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability,ml_log1p_failure_other_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability,near_measurement_report_event_prev_flag,False,constant or single-value feature,bool,100.0,1
capability,near_handover_execution_prev_flag,False,constant or single-value feature,bool,100.0,1
capability,near_handover_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
capability,near_rach_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
capability,near_ca_activation_change_prev_flag,False,constant or single-value feature,bool,100.0,1
capability,near_failure_other_prev_flag,False,constant or single-value feature,bool,100.0,1
capability,download_activity_window_raw_flag,True,kept,bool,100.0,2
capability,download_analysis_window_flag,True,kept,bool,100.0,2
capability,inactive_download_context_flag,True,kept,bool,100.0,2
capability,ca_active_flag,False,missing,missing,,0
capability,serving_earfcn,True,kept,float64,100.0,8
capability,serving_band,True,kept,float64,100.0,4
capability,id_test_type,True,kept,str,100.0,2
capability,download_context_label,True,kept,str,100.0,3
capability,ca_condition_label,True,kept,str,100.0,3
resource,ml_hour_sin,True,kept,float64,100.0,8
resource,ml_hour_cos,True,kept,float64,100.0,8
resource,session_elapsed_seconds,True,kept,float64,100.0,125
resource,speed,True,kept,float64,100.0,18415
resource,location_accuracy,True,kept,float64,100.0,13408
resource,altitude,True,kept,float64,100.0,17193
resource,distance_from_prev_m,True,kept,float64,99.52230287238663,27801
resource,lte_rsrp,True,kept,float64,100.0,31592
resource,lte_rsrq,True,kept,float64,100.0,28612
resource,lte_sinr,True,kept,float64,100.0,31730
resource,lte_rssi,True,kept,float64,100.0,31307
resource,carrier_count,True,kept,float64,100.0,3
resource,lte_agg_bandwidth_dl,True,kept,float64,99.99379614119984,6
resource,lte_bandwidth_dl,True,kept,float64,99.99379614119984,2
resource,scell1_rsrp,True,kept,float64,72.41143991562751,22225
resource,scell1_rsrq,True,kept,float64,72.38972640982692,20409
resource,scell1_sinr,True,kept,float64,72.41143991562751,22481
resource,neighbor_count,True,kept,int64,100.0,5
resource,best_neighbor_rsrp,True,kept,float64,99.82008809479497,14835
resource,strong_neighbor_count,True,kept,int64,100.0,5
resource,serving_minus_best_neighbor_rsrp,True,kept,float64,99.82008809479497,31925
resource,neighbor_pci_count,True,kept,int64,100.0,5
resource,ml_log1p_measurement_report_event_count_prev5s,False,constant or single-value feature,float64,100.0,1
resource,ml_log1p_handover_execution_count_prev5s,False,constant or single-value feature,float64,100.0,1
resource,ml_log1p_handover_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
resource,ml_log1p_rach_attempt_count_prev10s,False,constant or single-value feature,float64,100.0,1
resource,ml_log1p_rach_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
resource,ml_log1p_ca_activation_change_count_prev10s,False,constant or single-value feature,float64,100.0,1
resource,ml_log1p_failure_other_count_prev10s,False,constant or single-value feature,float64,100.0,1
resource,lte_cqi,True,kept,float64,99.66499162479062,15
resource,lte_mcs,True,kept,float64,99.99689807059991,29
resource,lte_bler,True,kept,float64,99.99689807059991,23189
resource,lte_rank,True,kept,float64,99.6246665425895,4
resource,lte_rb_count,True,kept,float64,99.99689807059991,98
resource,lte_agg_rb_dl,True,kept,float64,100.0,286
resource,rb_usage_value,True,kept,float64,100.0,286
resource,rb_utilization_pct_clipped,True,kept,float64,100.0,370
resource,estimated_available_rb,True,kept,float64,100.0,5
resource,scell1_cqi,True,kept,float64,70.63403436937776,15
resource,scell1_mcs,True,kept,float64,68.78838637632607,32
resource,scell1_bler,True,kept,float64,68.79148830572616,15644
resource,scell1_rank,False,missing,missing,,0
resource,scell1_rb_count,True,kept,float64,68.79148830572616,100
resource,near_measurement_report_event_prev_flag,False,constant or single-value feature,bool,100.0,1
resource,near_handover_execution_prev_flag,False,constant or single-value feature,bool,100.0,1
resource,near_handover_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
resource,near_rach_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
resource,near_ca_activation_change_prev_flag,False,constant or single-value feature,bool,100.0,1
resource,near_failure_other_prev_flag,False,constant or single-value feature,bool,100.0,1
resource,download_activity_window_raw_flag,True,kept,bool,100.0,2
resource,download_analysis_window_flag,True,kept,bool,100.0,2
resource,inactive_download_context_flag,True,kept,bool,100.0,2
resource,ca_active_flag,False,missing,missing,,0
resource,rb_low_usage_flag,True,kept,bool,100.0,2
resource,rb_medium_or_high_usage_flag,True,kept,bool,100.0,2
resource,rb_high_usage_flag,True,kept,bool,100.0,2
resource,serving_earfcn,True,kept,float64,100.0,8
resource,serving_band,True,kept,float64,100.0,4
resource,id_test_type,True,kept,str,100.0,2
resource,download_context_label,True,kept,str,100.0,3
resource,ca_condition_label,True,kept,str,100.0,3
resource,rb_usage_bucket,True,kept,str,100.0,4
resource,rb_demand_confidence_ml,True,kept,str,100.0,4
resource,rb_capacity_estimation_method,True,kept,str,100.0,3
capability_augmented,ml_hour_sin,True,kept,float64,100.0,8
capability_augmented,ml_hour_cos,True,kept,float64,100.0,8
capability_augmented,session_elapsed_seconds,True,kept,float64,100.0,125
capability_augmented,speed,True,kept,float64,100.0,18415
capability_augmented,location_accuracy,True,kept,float64,100.0,13408
capability_augmented,altitude,True,kept,float64,100.0,17193
capability_augmented,distance_from_prev_m,True,kept,float64,99.52230287238663,27801
capability_augmented,lte_rsrp,True,kept,float64,100.0,31592
capability_augmented,lte_rsrq,True,kept,float64,100.0,28612
capability_augmented,lte_sinr,True,kept,float64,100.0,31730
capability_augmented,lte_rssi,True,kept,float64,100.0,31307
capability_augmented,carrier_count,True,kept,float64,100.0,3
capability_augmented,lte_agg_bandwidth_dl,True,kept,float64,99.99379614119984,6
capability_augmented,lte_bandwidth_dl,True,kept,float64,99.99379614119984,2
capability_augmented,scell1_rsrp,True,kept,float64,72.41143991562751,22225
capability_augmented,scell1_rsrq,True,kept,float64,72.38972640982692,20409
capability_augmented,scell1_sinr,True,kept,float64,72.41143991562751,22481
capability_augmented,neighbor_count,True,kept,int64,100.0,5
capability_augmented,best_neighbor_rsrp,True,kept,float64,99.82008809479497,14835
capability_augmented,strong_neighbor_count,True,kept,int64,100.0,5
capability_augmented,serving_minus_best_neighbor_rsrp,True,kept,float64,99.82008809479497,31925
capability_augmented,neighbor_pci_count,True,kept,int64,100.0,5
capability_augmented,ml_log1p_measurement_report_event_count_prev5s,False,constant or single-value feature,float64,100.0,1
capability_augmented,ml_log1p_handover_execution_count_prev5s,False,constant or single-value feature,float64,100.0,1
capability_augmented,ml_log1p_handover_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability_augmented,ml_log1p_rach_attempt_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability_augmented,ml_log1p_rach_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability_augmented,ml_log1p_ca_activation_change_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability_augmented,ml_log1p_failure_other_count_prev10s,False,constant or single-value feature,float64,100.0,1
capability_augmented,near_measurement_report_event_prev_flag,False,constant or single-value feature,bool,100.0,1
capability_augmented,near_handover_execution_prev_flag,False,constant or single-value feature,bool,100.0,1
capability_augmented,near_handover_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
capability_augmented,near_rach_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
capability_augmented,near_ca_activation_change_prev_flag,False,constant or single-value feature,bool,100.0,1
capability_augmented,near_failure_other_prev_flag,False,constant or single-value feature,bool,100.0,1
capability_augmented,download_activity_window_raw_flag,True,kept,bool,100.0,2
