column,feature_role
any_event_count_prev30s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
ca_activation_change_count_prev10s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
failure_other_count_prev10s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
handover_execution_count_prev5s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
handover_failure_count_prev10s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
measurement_report_event_count_prev5s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_any_event_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_ca_activation_change_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_failure_other_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_handover_execution_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_handover_failure_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_measurement_report_event_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_rach_attempt_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
near_rach_failure_prev_flag,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
rach_attempt_count_prev10s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
rach_failure_count_prev10s,CAUSAL_PAST_ONLY_MODEL_ELIGIBLE
any_event_count_pm30s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
ca_activation_change_count_pm10s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
ca_change_count_pm10s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
failure_other_count_pm10s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
handover_execution_count_pm5s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
handover_failure_count_pm10s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
handover_mobility_count_pm5s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
measurement_report_event_count_pm5s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_any_event_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_ca_activation_change_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_ca_change_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_failure_other_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_handover_execution_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_handover_failure_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_handover_mobility_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_measurement_report_event_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_rach_attempt_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_rach_failure_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
near_rach_flag,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
rach_attempt_count_pm10s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
rach_count_pm10s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
rach_failure_count_pm10s,SYMMETRIC_OFFLINE_RCA_CONTEXT_ONLY
