operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,max_priority,mean_priority,max_impact,max_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,primary_serving_pci,duration_seconds
INC-000659,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:49:04+02:00,2025-08-28 00:49:04+02:00,1,1,86.35,86.35,75.18,100.0,1,0,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,163.0,0.0
INC-000404,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,2025-08-27 03:39:42+02:00,2025-08-27 03:39:42+02:00,1,1,85.1,85.1,72.9,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,137.0,0.0
INC-000791,542020041221088+20250828123823+Fiji-Nadi-LTE-DL-D!20250828123754,Fiji-Nadi-LTE-DL-D,2025-08-28 02:37:35+02:00,2025-08-28 02:37:36+02:00,1,2,84.75,84.75,81.27,89.0,1,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,313.0,1.0
INC-000185,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:31+02:00,2025-08-27 01:30:31+02:00,1,1,84.48,84.48,71.78,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,0.0
INC-000187,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:49+02:00,2025-08-27 01:30:49+02:00,1,1,84.1,84.1,71.09,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,0.0
INC-001005,542020041221088+20250828141838+Fiji-Nadi-LTE-DL-D!20250828141754,Fiji-Nadi-LTE-DL-D,2025-08-28 04:16:02+02:00,2025-08-28 04:16:02+02:00,1,1,83.71,83.71,70.37,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,230.0,0.0
INC-000202,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:35:17+02:00,2025-08-27 01:35:18+02:00,1,2,83.33,83.33,77.47,90.5,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,1.0
INC-000197,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:34:11+02:00,2025-08-27 01:34:12+02:00,1,2,82.71,82.71,74.82,92.35,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,1.0
INC-000583,542020041221088+20250827161114+Fiji-Nadi-LTE-DL-D!20250827160608,Fiji-Nadi-LTE-DL-D,2025-08-27 06:04:06+02:00,2025-08-27 06:04:06+02:00,1,1,82.71,82.71,68.57,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,469.0,0.0
INC-000412,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,2025-08-27 03:41:22+02:00,2025-08-27 03:41:22+02:00,1,1,82.59,82.59,68.35,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,135.0,0.0
INC-000323,542020041221088+20250827133907+Fiji-Nadi-LTE-DL-D!20250827130324,Fiji-Nadi-LTE-DL-D,2025-08-27 03:01:56+02:00,2025-08-27 03:01:56+02:00,1,1,82.32,82.32,67.85,100.0,1,0,0,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,322.0,0.0
INC-000515,542020041221088+20250827151552+Fiji-Nadi-LTE-DL-D!20250827151524,Fiji-Nadi-LTE-DL-D,2025-08-27 05:14:38+02:00,2025-08-27 05:14:38+02:00,1,1,82.07,82.07,67.4,100.0,1,0,0,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,50.0,0.0
