canonical_name,source_column
target_lte_dl_tp,LTE.LTE_Data_KPI.Agg_Throughput_DL
duplicate_lte_dl_tp,LTE.DownlinkMeasurements.Throughput_DL
pcell_tp,LTE - PrimaryCell - PCell_Throughput
scell1_tp,LTE - SecondaryCell 1 - SCell1_Throughput
http_dl_tp,Throughput.HTTP_DL
physical_dl_tp,Throughput.Physical_DL
activity_tp,Activity.Throughput
serving_pci,LTE - Serving - PCI
serving_earfcn,LTE - Serving - EARFCN_DL
serving_band,LTE - Serving - Band
serving_eci,LTE - Serving - ECI
serving_enodebid,LTE - Serving - EnodeBID
serving_lci,LTE - Serving - LCI
lte_rsrp,LTE - PrimaryCell Radio - RSRP
lte_rsrq,LTE - PrimaryCell Radio - PCell_RSRQ
lte_sinr,LTE - PrimaryCell Radio - PCell_SINR
lte_rssi,LTE - PrimaryCell Radio - PCell_RSSI
lte_cqi,LTE - PrimaryCell - PCell_CQI
lte_mcs,LTE - PrimaryCell - PCell_MCS_CW0
lte_bler,LTE - PrimaryCell - PCell_BLER
lte_rank,LTE - PrimaryCell - PCell_SpatialRank
lte_rb_count,LTE - PrimaryCell - PCell_ResourceBlockNum
lte_agg_rb_dl,LTE.LTE_Data_KPI.Agg_RB_DL
lte_bandwidth_dl,LTE - Serving - BandWidth_DL
lte_agg_bandwidth_dl,LTE.LTE_Data_KPI.Agg_Bandwidth_DL
carrier_count,LTE.DedicatedRadioLink.CarrierCount
scell1_rsrp,LTE - SecondaryCell 1 Radio - SCell1_RSRP
scell1_rsrq,LTE - SecondaryCell 1 Radio - SCell1_RSRQ
scell1_sinr,LTE - SecondaryCell 1 Radio - SCell1_SINR
scell1_cqi,LTE - SecondaryCell 1 - SCell1_CQI
scell1_mcs,LTE - SecondaryCell 1 - SCell1_MCS_CW0
scell1_bler,LTE - SecondaryCell 1 - SCell1_BLER
scell1_rb_count,LTE - SecondaryCell 1 - SCell1_ResourceBlockNum
rach_result,LTE.RACH.RACH_Result
rach_reason,LTE.RACH.RACH_Reason
rach_latency,LTE.RACH.RACH_Latency
