family_a,family_b,intersection_rows,union_rows,jaccard
low_tp_family_flag,low_tp_family_flag,5782,5782,1.0
low_tp_family_flag,temporal_drop_family_flag,2068,7399,0.2794972293553183
low_tp_family_flag,expected_tp_family_flag,456,6806,0.06699970614163973
low_tp_family_flag,rb_efficiency_family_flag,518,5782,0.08958837772397095
temporal_drop_family_flag,low_tp_family_flag,2068,7399,0.2794972293553183
temporal_drop_family_flag,temporal_drop_family_flag,3685,3685,1.0
temporal_drop_family_flag,expected_tp_family_flag,564,4601,0.12258204738100413
temporal_drop_family_flag,rb_efficiency_family_flag,239,3964,0.06029263370332997
expected_tp_family_flag,low_tp_family_flag,456,6806,0.06699970614163973
expected_tp_family_flag,temporal_drop_family_flag,564,4601,0.12258204738100413
expected_tp_family_flag,expected_tp_family_flag,1480,1480,1.0
expected_tp_family_flag,rb_efficiency_family_flag,422,1576,0.26776649746192893
rb_efficiency_family_flag,low_tp_family_flag,518,5782,0.08958837772397095
rb_efficiency_family_flag,temporal_drop_family_flag,239,3964,0.06029263370332997
rb_efficiency_family_flag,expected_tp_family_flag,422,1576,0.26776649746192893
rb_efficiency_family_flag,rb_efficiency_family_flag,518,518,1.0
